place_type,all_type_count,primary_count,secondary_count,bucket
establishment,499355,0,499355,other
point_of_interest,499352,50,499302,other
service,206638,36471,170167,other
store,131466,23974,107492,grocery_ambiguous
health,66503,6607,59896,other
food,63174,959,62215,other
association_or_organization,45378,25457,19921,other
food_store,33576,6398,27178,grocery
apartment_building,32248,31925,323,other
manufacturer,31586,20315,11271,other
medical_clinic,22471,12079,10392,other
clothing_store,22404,16804,5600,other
restaurant,22198,7218,14980,other
corporate_office,21098,19978,1120,other
transportation_service,19992,4707,15285,other
finance,19534,5767,13767,other
consultant,19198,11786,7412,other
doctor,16729,12245,4484,other
place_of_worship,15686,4277,11409,other
wholesaler,15402,7307,8095,other
educational_institution,14764,7053,7711,other
supplier,11661,2709,8952,other
home_goods_store,10852,2126,8726,other
general_store,10705,9116,1589,grocery
lodging,9213,3509,5704,other
general_contractor,9036,6518,2518,other
hindu_temple,8029,7979,50,other
jewelry_store,7753,6950,803,other
car_repair,7528,4198,3330,other
building_materials_store,7415,2853,4562,other
pharmacy,7229,6370,859,chemist
transit_station,6716,818,5898,other
fast_food_restaurant,6498,5022,1476,other
beauty_salon,6216,3894,2322,other
hospital,6119,2883,3236,other
school,5870,2735,3135,other
grocery_store,5547,3190,2357,grocery
government_office,5453,2834,2619,other
bus_stop,5448,5448,0,other
transit_stop,5448,0,5448,other
hair_care,5440,16,5424,other
home_improvement_store,5287,756,4531,other
travel_agency,4987,3456,1531,other
housing_complex,4795,4711,84,other
bank,4663,4142,521,other
dental_clinic,4601,4052,549,other
electronics_store,4587,3295,1292,other
confectionery,4543,422,4121,bakery
sports_activity_location,4460,145,4315,other
bakery,4271,2566,1705,bakery
furniture_store,4141,3089,1052,other
hotel,4068,3570,498,other
hair_salon,4003,3171,832,other
indian_restaurant,3700,1171,2529,other
atm,3670,3032,638,other
real_estate_agency,3543,2112,1431,other
accounting,3483,323,3160,other
womens_clothing_store,3375,2558,817,other
child_care_agency,3331,1410,1921,other
insurance_agency,3312,2364,948,other
hardware_store,3308,2864,444,other
shipping_service,3188,995,2193,other
tailor,3122,2807,315,other
auto_parts_store,3116,2016,1100,other
cafe,3087,1542,1545,other
gym,2935,1337,1598,other
dessert_shop,2927,568,2359,bakery
public_bathroom,2872,2866,6,other
event_venue,2692,514,2178,other
dentist,2665,1552,1113,other
food_delivery,2529,274,2255,other
parking,2495,681,1814,other
cell_phone_store,2367,2028,339,other
storage,2183,1658,525,other
medical_center,2113,1393,720,other
gift_shop,2093,1157,936,other
food_court,2024,1853,171,other
shoe_store,2008,1819,189,other
chinese_restaurant,1989,1132,857,other
laundry,1988,1879,109,other
spa,1955,882,1073,other
mosque,1921,1892,29,other
sports_school,1912,807,1105,other
apartment_complex,1904,1775,129,other
condominium_complex,1841,1648,193,other
local_government_office,1839,1045,794,other
employment_agency,1790,1537,253,other
parking_lot,1785,475,1310,other
bar,1746,842,904,other
fitness_center,1666,615,1051,other
candy_store,1643,933,710,mondelez_conf
skin_care_clinic,1603,766,837,other
physiotherapist,1584,1165,419,other
massage,1559,234,1325,other
cake_shop,1497,1205,292,bakery
vegetarian_restaurant,1493,606,887,other
meal_takeaway,1483,385,1098,other
tea_store,1468,1335,133,other
north_indian_restaurant,1466,976,490,other
car_dealer,1461,1116,345,other
courier_service,1455,1322,133,other
sports_complex,1446,247,1199,other
lawyer,1445,1034,411,other
catering_service,1420,1217,203,other
market,1401,872,529,grocery_ambiguous
drugstore,1400,990,410,chemist
makeup_artist,1395,860,535,other
ice_cream_shop,1393,1119,274,mondelez_conf
astrologer,1374,1178,196,other
nail_salon,1345,649,696,other
university,1322,1035,287,other
playground,1312,1196,116,other
parking_garage,1300,1118,182,other
preschool,1296,1103,193,other
tour_agency,1264,761,503,other
park,1250,1123,127,other
cosmetics_store,1229,875,354,other
taxi_service,1221,1058,163,other
sports_club,1211,920,291,other
coffee_shop,1177,754,423,other
farm,1167,356,811,other
supermarket,1166,922,244,grocery
juice_shop,1162,981,181,other
sporting_goods_store,1138,347,791,other
wellness_center,1110,467,643,other
body_art_service,1070,499,571,other
butcher_shop,1065,937,128,other
medical_lab,1061,263,798,other
massage_spa,1050,295,755,other
breakfast_restaurant,1028,245,783,other
